Date,Open,High,Low,Close,Volume,OI
1976-08-04,79.1,79.1,79.1,79.1,65030,0
1976-08-05,79.28,79.28,79.28,79.28,67650,0
1976-08-06,79.37,79.37,79.37,79.37,86810,0
1976-08-09,79.55,79.55,79.55,79.55,148600,0
1976-08-10,79.6,79.6,79.6,79.6,34410,0
1976-08-11,79.52,79.52,79.52,79.52,194280,0
1976-08-13,79.5,79.5,79.5,79.5,114790,0
1976-08-16,79.39,79.39,79.39,79.39,79190,0
1976-08-17,79.02,79.02,79.02,79.02,337760,0
1976-08-18,79.25,79.25,79.25,79.25,192960,0
1976-08-19,79.42,79.42,79.42,79.42,76350,0
1976-08-20,79.33,79.33,79.33,79.33,88680,0
1976-08-23,79.58,79.58,79.58,79.58,1257450,0
1976-08-24,79.32,79.32,79.32,79.32,166450,0
1976-08-25,79.69,79.69,79.69,79.69,148120,0
1976-08-26,79.77,79.77,79.77,79.77,261680,0
1976-08-27,79.85,79.85,79.85,79.85,238120,0
1976-08-30,79.64,79.64,79.64,79.64,206180,0
1976-08-31,79.92,79.92,79.92,79.92,159580,0
1976-09-01,79.64,79.64,79.64,79.64,55470,0
1976-09-02,79.65,79.65,79.65,79.65,225660,0
1976-09-03,79.58,79.58,79.58,79.58,241180,0
1976-09-06,79.15,79.15,79.15,79.15,434780,0
1976-09-07,79.4,79.4,79.4,79.4,130770,0
1976-09-08,77.56,77.56,77.56,77.56,712760,0
1976-09-09,77.79,77.79,77.79,77.79,241730,0
1976-09-10,78.05,78.05,78.05,78.05,239490,0
1976-09-13,78.4,78.4,78.4,78.4,131580,0
1976-09-14,78.68,78.68,78.68,78.68,318290,0
1976-09-15,78.62,78.62,78.62,78.62,93410,0
1976-09-16,78.48,78.48,78.48,78.48,192000,0
1976-09-17,78.25,78.25,78.25,78.25,97480,0
1976-09-20,78.25,78.25,78.25,78.25,151580,0
1976-09-21,78.5,78.5,78.5,78.5,197810,0
1976-09-22,78.96,78.96,78.96,78.96,236480,0
1976-09-23,79.8,79.8,79.8,79.8,331050,0
1976-09-24,79.45,79.45,79.45,79.45,379400,0
1976-09-27,79.45,79.45,79.45,79.45,95810,0
1976-09-28,79.19,79.19,79.19,79.19,171130,0
1976-09-29,79.32,79.32,79.32,79.32,225160,0
1976-09-30,79.65,79.65,79.65,79.65,68590,0
1976-10-01,79.72,79.72,79.72,79.72,69580,0
1976-10-04,79.72,79.72,79.72,79.72,180740,0
1976-10-05,79.8,79.8,79.8,79.8,85490,0
1976-10-06,79.33,79.33,79.33,79.33,67400,0
1976-10-07,79.48,79.48,79.48,79.48,117680,0
1976-10-08,80.3,80.3,80.3,80.3,275820,0
1976-10-11,80.13,80.13,80.13,80.13,433040,0
1976-10-12,80.31,80.31,80.31,80.31,109840,0
1976-10-13,80.14,80.14,80.14,80.14,245470,0
1976-10-14,80.19,80.19,80.19,80.19,234610,0
1976-10-15,80.21,80.21,80.21,80.21,204540,0
1976-10-18,80.23,80.23,80.23,80.23,138100,0
1976-10-19,80.22,80.22,80.22,80.22,130830,0
1976-10-20,80.19,80.19,80.19,80.19,163820,0
1976-10-21,80.19,80.19,80.19,80.19,236550,0
1976-10-22,80.5,80.5,80.5,80.5,59630,0
1976-10-26,80.26,80.26,80.26,80.26,130320,0
1976-10-27,80.27,80.27,80.27,80.27,237930,0
1976-10-28,80.08,80.08,80.08,80.08,241210,0
1976-10-29,80.08,80.08,80.08,80.08,305180,0
1976-11-01,80.24,80.24,80.24,80.24,199530,0
1976-11-02,80.29,80.29,80.29,80.29,245600,0
1976-11-03,80.05,80.05,80.05,80.05,441590,0
1976-11-04,80.15,80.15,80.15,80.15,231600,0
1976-11-05,80.16,80.16,80.16,80.16,248010,0
1976-11-08,80.18,80.18,80.18,80.18,56350,0
1976-11-09,80.23,80.23,80.23,80.23,82990,0
1976-11-10,80.29,80.29,80.29,80.29,175290,0
1976-11-11,80.35,80.35,80.35,80.35,135890,0
1976-11-12,80.52,80.52,80.52,80.52,241520,0
1976-11-15,80.42,80.42,80.42,80.42,135510,0
1976-11-16,80.42,80.42,80.42,80.42,44450,0
1976-11-17,80.65,80.65,80.65,80.65,163280,0
1976-11-18,81.13,81.13,81.13,81.13,180470,0
1976-11-19,80.61,80.61,80.61,80.61,629960,0
1976-11-22,80.96,80.96,80.96,80.96,136450,0
1976-11-23,81.22,81.22,81.22,81.22,253670,0
1976-11-24,80.88,80.88,80.88,80.88,437750,0
1976-11-25,80.38,80.38,80.38,80.38,460950,0
1976-11-26,80.67,80.67,80.67,80.67,771520,0
1976-11-29,80.62,80.62,80.62,80.62,113430,0
1976-11-30,80.66,80.66,80.66,80.66,957050,0
1976-12-01,80.64,80.64,80.64,80.64,200500,0
1976-12-02,80.8,80.8,80.8,80.8,320300,0
1976-12-03,80.43,80.43,80.43,80.43,361410,0
1976-12-07,80.37,80.37,80.37,80.37,290150,0
1976-12-08,80.76,80.76,80.76,80.76,271520,0
1976-12-09,80.59,80.59,80.59,80.59,122740,0
1976-12-13,80.77,80.77,80.77,80.77,222660,0
1976-12-14,80.44,80.44,80.44,80.44,104250,0
1976-12-15,80.48,80.48,80.48,80.48,116390,0
1976-12-16,80.54,80.54,80.54,80.54,94870,0
1976-12-17,80.49,80.49,80.49,80.49,229230,0
1976-12-20,80.48,80.48,80.48,80.48,73740,0
1976-12-21,80.86,80.86,80.86,80.86,256760,0
1976-12-22,81.52,81.52,81.52,81.52,192700,0
1976-12-23,81.74,81.74,81.74,81.74,141930,0
1976-12-24,82.55,82.55,82.55,82.55,500230,0
1976-12-27,82.76,82.76,82.76,82.76,450090,0
1976-12-28,82.72,82.72,82.72,82.72,160660,0
1976-12-29,82.4,82.4,82.4,82.4,221830,0
1976-12-30,82.69,82.69,82.69,82.69,253850,0
1977-01-04,82.48,82.48,82.48,82.48,91500,0
1977-01-05,82.75,82.75,82.75,82.75,114010,0
1977-01-06,82.76,82.76,82.76,82.76,223100,0
1977-01-07,83.76,83.76,83.76,83.76,387090,0
1977-01-10,83.74,83.74,83.74,83.74,576670,0
1977-01-11,84.24,84.24,84.24,84.24,689920,0
1977-01-12,85.13,85.13,85.13,85.13,1061860,0
1977-01-13,86.27,86.27,86.27,86.27,716510,0
1977-01-14,86.46,86.46,86.46,86.46,1045190,0
1977-01-17,86.65,86.65,86.65,86.65,988940,0
1977-01-18,86.58,86.58,86.58,86.58,781270,0
1977-01-19,86.56,86.56,86.56,86.56,609420,0
1977-01-20,86.16,86.16,86.16,86.16,308450,0
1977-01-21,85.83,85.83,85.83,85.83,499150,0
1977-01-24,85.99,85.99,85.99,85.99,252290,0
1977-01-25,86.06,86.06,86.06,86.06,706360,0
1977-01-26,86.01,86.01,86.01,86.01,377800,0
1977-01-27,86.19,86.19,86.19,86.19,428510,0
1977-01-28,87.52,87.52,87.52,87.52,583930,0
1977-01-31,87.55,87.55,87.55,87.55,538810,0
1977-02-01,87.93,87.93,87.93,87.93,942370,0
1977-02-02,87.6,87.6,87.6,87.6,1207970,0
1977-02-03,87.86,87.86,87.86,87.86,741130,0
1977-02-04,87.6,87.6,87.6,87.6,889900,0
